Date,Papers,Authors,cDays
2008-02-01,1,1,0
2009-06-01,3,2,486
2010-07-01,4,3,881
2011-02-01,6,6,1096
2011-03-01,7,8,1124
2011-05-01,8,9,1185
2011-06-01,11,13,1216
2011-10-01,13,16,1338
2012-02-01,14,16,1461
2012-03-01,15,17,1490
2012-06-01,16,19,1582
2012-07-01,17,22,1612
2012-09-01,20,32,1674
2012-10-01,21,33,1704
2013-01-01,22,35,1796
2013-02-01,24,37,1827
2013-03-01,27,41,1855
2013-04-01,31,46,1886
2013-05-01,32,47,1916
2013-06-01,33,47,1947
2013-07-01,35,50,1977
2013-08-01,38,53,2008
2013-10-01,39,55,2069
2013-11-01,40,57,2100
2013-12-01,45,71,2130
2014-01-01,49,78,2161
2014-04-01,50,81,2251
2014-06-01,51,86,2312
2014-07-01,52,88,2342
2014-08-01,53,89,2373
2014-09-01,56,91,2404
2014-11-01,57,94,2465
2014-12-01,58,96,2495
2015-02-01,60,97,2557
2015-03-01,61,98,2585
2015-04-01,62,101,2616
2015-05-01,63,101,2646
2015-06-01,65,102,2677
2015-07-01,67,106,2707
2015-10-01,69,111,2799
2015-12-01,72,143,2860
2016-01-01,74,145,2891
2016-02-01,78,149,2922
2016-03-01,79,153,2951
2016-04-01,84,163,2982
2016-05-01,87,166,3012
2016-06-01,91,178,3043
2016-07-01,94,182,3073
2016-08-01,95,183,3104
2016-09-01,98,211,3135
2016-10-01,99,211,3165
2016-11-01,103,218,3196
2016-12-01,104,219,3226
2017-01-01,107,226,3257
2017-02-01,110,229,3288
2017-03-01,115,247,3316
2017-04-01,116,247,3347
2017-05-01,125,265,3377
2017-06-01,128,273,3408
2017-07-01,134,290,3438
2017-08-01,137,298,3469
2017-09-01,142,307,3500
2017-10-01,145,312,3530
2017-11-01,153,332,3561
2017-12-01,160,353,3591
2018-01-01,163,355,3622
2018-02-01,170,380,3653
2018-03-01,183,458,3681
2018-04-01,202,542,3712
2018-05-01,225,603,3742
2018-06-01,248,674,3773
2018-07-01,265,719,3803
2018-08-01,273,750,3834
2018-09-01,284,778,3865
2018-10-01,315,865,3895
2018-11-01,342,956,3926
2018-12-01,351,981,3956
2019-01-01,361,1011,3987
2019-02-01,374,1045,4018
2019-03-01,393,1103,4046
2019-04-01,406,1142,4077
2019-05-01,429,1215,4107
2019-06-01,448,1259,4138
2019-07-01,472,1330,4168
2019-08-01,475,1332,4199
2019-09-01,489,1398,4230
2019-10-01,505,1434,4260
2019-11-01,516,1461,4291
2019-12-01,538,1536,4321
2020-01-01,552,1570,4352
2020-02-01,578,1632,4383
2020-03-01,592,1679,4412
2020-04-01,605,1749,4443
2020-05-01,621,1799,4473
2020-06-01,643,1868,4504
2020-07-01,653,1897,4534
2020-08-01,668,1925,4565
2020-09-01,678,1949,4596
2020-10-01,693,1992,4626
2020-11-01,706,2070,4657
2020-12-01,718,2098,4687
2021-01-01,727,2119,4718
2021-02-01,748,2175,4749
2021-03-01,764,2222,4777
2021-04-01,773,2243,4808
2021-05-01,789,2279,4838
2021-06-01,798,2309,4869
2021-07-01,816,2405,4899
2021-08-01,827,2442,4930
2021-09-01,839,2499,4961
2021-10-01,860,2586,4991
2021-11-01,876,2680,5022
2021-12-01,886,2714,5052
2022-01-01,902,2765,5083
2022-02-01,929,2863,5114
2022-03-01,937,2885,5142
2022-04-01,948,2914,5173
2022-05-01,959,2940,5203
