Date,Papers,Authors,cDays
2012-06-01,1,2,1582
2013-04-01,2,3,1886
2013-12-01,3,10,2130
2014-01-01,4,11,2161
2015-07-01,5,13,2707
2016-01-01,6,14,2891
2016-04-01,7,15,2982
2016-11-01,8,15,3196
2017-02-01,9,16,3288
2017-05-01,10,19,3377
2017-07-01,11,26,3438
2017-08-01,12,30,3469
2017-10-01,13,33,3530
2017-11-01,15,41,3561
2017-12-01,17,44,3591
2018-02-01,19,45,3653
2018-03-01,20,46,3681
2018-04-01,24,67,3712
2018-05-01,31,87,3742
2018-06-01,36,109,3773
2018-07-01,39,117,3803
2018-09-01,42,131,3865
2018-10-01,50,155,3895
2018-11-01,55,177,3926
2018-12-01,56,183,3956
2019-01-01,59,194,3987
2019-02-01,60,198,4018
2019-03-01,66,214,4046
2019-04-01,71,230,4077
2019-05-01,75,237,4107
2019-06-01,77,246,4138
2019-07-01,84,270,4168
2019-09-01,89,301,4230
2019-10-01,93,316,4260
2019-11-01,94,326,4291
2019-12-01,101,362,4321
2020-01-01,105,367,4352
2020-02-01,111,382,4383
2020-03-01,114,393,4412
2020-04-01,116,396,4443
2020-05-01,119,404,4473
2020-06-01,124,430,4504
2020-07-01,126,438,4534
2020-08-01,131,453,4565
2020-09-01,135,466,4596
2020-10-01,141,479,4626
2020-11-01,142,483,4657
2020-12-01,145,491,4687
2021-01-01,146,492,4718
2021-02-01,151,516,4749
2021-03-01,153,523,4777
2021-04-01,154,523,4808
2021-05-01,158,536,4838
2021-06-01,160,542,4869
2021-07-01,165,557,4899
2021-08-01,169,570,4930
2021-09-01,171,575,4961
2021-10-01,173,585,4991
2021-11-01,174,585,5022
2021-12-01,176,596,5052
2022-01-01,180,616,5083
2022-02-01,185,655,5114
2022-03-01,186,660,5142
2022-05-01,187,662,5203
